,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
249,6.0,Nepal,NPL,45.0,28608710.0,12600.005000000001,2020-06-04,328467.5,1.0,2020-07-22,2020-01-23,EPI_THIRD_WAVE,39322.155000000006,3.1965789439649672,1168.289132924903,-74.0,-77.0,-74.0,-78.0,-74.0,-72.0,-73.0,-74.0,-73.0,222.0,-132.0,-56.0,-17.0,39.0,351.0
250,6.0,Nepal,NPL,2971.0,28608710.0,15188.33,2020-07-30,1888899.0,2.0,2021-03-14,2020-07-22,EPI_THIRD_WAVE,39322.155000000006,3.1965789439649672,1168.289132924903,-74.0,-77.0,-74.0,-78.0,-74.0,-72.0,-73.0,-74.0,-73.0,222.0,-132.0,-56.0,-17.0,39.0,351.0
251,6.0,Nepal,NPL,6131.0,28608710.0,6914.815000000001,2021-03-26,1131771.0,3.0,2021-07-01,2021-03-14,EPI_THIRD_WAVE,39322.155000000006,3.1965789439649672,1168.289132924903,-74.0,-77.0,-74.0,-78.0,-74.0,-72.0,-73.0,-74.0,-73.0,222.0,-132.0,-56.0,-17.0,39.0,351.0
252,2.0,New Zealand,NZL,26.0,4917000.0,16941.34,2020-04-17,2240434.0,1.0,2021-07-01,2020-02-28,EPI_FIRST_WAVE,21322.91,0.052877770998576365,4556.505999593248,-25.0,-24.0,-23.0,-32.0,-25.0,-22.0,-25.0,-25.0,-28.0,250.0,-49.0,-39.0,-28.0,-10.0,115.0
253,5.0,Oman,OMN,650.0,4974986.0,15059.775000000003,2020-04-25,207658.0,1.0,2020-08-30,2020-02-24,EPI_THIRD_WAVE,38062.755000000005,6.231173313854551,417.40418968013176,-38.0,-41.0,91.0,-39.0,-39.0,-37.0,-15.0,-38.0,-38.0,159.0,-39.0,,,,
254,5.0,Oman,OMN,852.0,4974986.0,7316.345,2020-08-31,0.0,2.0,2021-01-06,2020-08-30,EPI_THIRD_WAVE,38062.755000000005,6.231173313854551,417.40418968013176,-38.0,-41.0,91.0,-39.0,-39.0,-37.0,-15.0,-38.0,-38.0,159.0,-39.0,,,,
255,5.0,Oman,OMN,0.0,4974986.0,15146.435,2021-01-18,0.0,3.0,2021-09-19,2021-01-06,EPI_THIRD_WAVE,38062.755000000005,6.231173313854551,417.40418968013176,-38.0,-41.0,91.0,-39.0,-39.0,-37.0,-15.0,-38.0,-38.0,159.0,-39.0,,,,
256,6.0,Pakistan,PAK,6365.0,216565318.0,13377.814999999999,2020-03-29,2866114.0,1.0,2020-09-10,2020-02-26,EPI_THIRD_WAVE,35959.649999999994,1.0288350972245703,670.5447406865027,-6.0,-31.0,-6.0,-16.0,-16.0,-6.0,-6.0,-5.0,-8.0,346.0,33.0,4.0,37.0,135.0,
257,6.0,Pakistan,PAK,6168.0,216565318.0,9249.875,2020-09-13,5826976.0,2.0,2021-02-20,2020-09-10,EPI_THIRD_WAVE,35959.649999999994,1.0288350972245703,670.5447406865027,-6.0,-31.0,-6.0,-16.0,-16.0,-6.0,-6.0,-5.0,-8.0,346.0,33.0,4.0,37.0,135.0,
258,6.0,Pakistan,PAK,9793.0,216565318.0,7982.135,2021-02-21,5895996.5,3.0,2021-07-01,2021-02-20,EPI_THIRD_WAVE,35959.649999999994,1.0288350972245703,670.5447406865027,-6.0,-31.0,-6.0,-16.0,-16.0,-6.0,-6.0,-5.0,-8.0,346.0,33.0,4.0,37.0,135.0,
259,5.0,Panama,PAN,2340.0,4246439.0,16869.705,2020-03-29,475973.0,1.0,2020-09-29,2020-03-10,EPI_THIRD_WAVE,41203.08,15.391719979964389,7047.1069995353755,-6.0,-17.0,-9.0,-16.0,205.0,5.0,-4.0,-6.0,20.0,261.0,153.0,-16.0,-4.0,44.0,174.0
260,5.0,Panama,PAN,3912.0,4246439.0,15045.539999999999,2020-10-01,1939881.0,2.0,2021-05-03,2020-09-29,EPI_THIRD_WAVE,41203.08,15.391719979964389,7047.1069995353755,-6.0,-17.0,-9.0,-16.0,205.0,5.0,-4.0,-6.0,20.0,261.0,153.0,-16.0,-4.0,44.0,174.0
261,5.0,Panama,PAN,0.0,4246439.0,8878.269999999997,2021-05-06,0.0,3.0,2021-09-19,2021-05-03,EPI_THIRD_WAVE,41203.08,15.391719979964389,7047.1069995353755,-6.0,-17.0,-9.0,-16.0,205.0,5.0,-4.0,-6.0,20.0,261.0,153.0,-16.0,-4.0,44.0,174.0
262,4.0,Peru,PER,94436.0,32510453.0,24891.840000000004,2020-03-20,1898133.0,1.0,2021-01-08,2020-03-07,EPI_SECOND_WAVE,43581.38500000001,59.15974163755885,1387.813175042501,-5.0,-8.0,-4.0,-8.0,-5.0,42.0,-5.0,-5.0,-4.0,242.0,81.0,-4.0,21.0,104.0,375.0
263,4.0,Peru,PER,98076.0,32510453.0,13556.660000000005,2021-01-09,2633268.0,2.0,2021-07-01,2021-01-08,EPI_SECOND_WAVE,43581.38500000001,59.15974163755885,1387.813175042501,-5.0,-8.0,-4.0,-8.0,-5.0,42.0,-5.0,-5.0,-4.0,242.0,81.0,-4.0,21.0,104.0,375.0
264,3.0,Philippines,PHL,9367.0,108116615.0,24635.705,2020-03-15,6638784.0,1.0,2021-01-09,2020-01-31,EPI_SECOND_WAVE,41986.57,2.2810555065935056,1321.8261596517798,0.0,-5.0,3.0,0.0,3.0,0.0,0.0,0.0,7.0,110.0,-39.0,20.0,48.0,126.0,403.0
265,3.0,Philippines,PHL,0.0,108116615.0,17263.375,2021-01-10,0.0,2.0,2021-09-19,2021-01-09,EPI_SECOND_WAVE,41986.57,2.2810555065935056,1321.8261596517798,0.0,-5.0,3.0,0.0,3.0,0.0,0.0,0.0,7.0,110.0,-39.0,20.0,48.0,126.0,403.0
266,2.0,Papua New Guinea,PNG,174.0,8776109.0,25209.61,2021-02-12,0.0,1.0,2021-07-01,2020-03-20,EPI_FIRST_WAVE,29790.43,0.19826554114129621,0.0,-325.0,-326.0,-189.0,-325.0,-302.0,-325.0,-310.0,-325.0,-328.0,,-378.0,,,,
267,4.0,Poland,POL,39360.0,37970874.0,20029.455,2020-03-25,8405489.0,1.0,2021-02-09,2020-03-04,EPI_SECOND_WAVE,33106.855,19.76356930841255,4437.511235585464,6.0,-13.0,367.0,-15.0,6.0,,6.0,6.0,-10.0,,,35.0,35.0,43.0,207.0
268,4.0,Poland,POL,35912.0,37970874.0,9593.940000000002,2021-02-10,8487086.0,2.0,2021-07-01,2021-02-09,EPI_SECOND_WAVE,33106.855,19.76356930841255,4437.511235585464,6.0,-13.0,367.0,-15.0,6.0,,6.0,6.0,-10.0,,,35.0,35.0,43.0,207.0
269,6.0,Puerto Rico,PRI,200.0,3193694.0,9828.554999999998,2020-04-02,0.0,1.0,2020-07-05,2020-03-14,EPI_THIRD_WAVE,35094.03999999999,7.981353254256669,0.0,-18.0,-17.0,-18.0,-20.0,-18.0,-18.0,-18.0,-21.0,,322.0,5.0,,,,
270,6.0,Puerto Rico,PRI,1894.0,3193694.0,17495.225000000006,2020-07-12,0.0,2.0,2021-03-04,2020-07-05,EPI_THIRD_WAVE,35094.03999999999,7.981353254256669,0.0,-18.0,-17.0,-18.0,-20.0,-18.0,-18.0,-18.0,-21.0,,322.0,5.0,,,,
271,6.0,Puerto Rico,PRI,509.0,3193694.0,6339.320000000001,2021-03-07,0.0,3.0,2021-07-01,2021-03-04,EPI_THIRD_WAVE,35094.03999999999,7.981353254256669,0.0,-18.0,-17.0,-18.0,-20.0,-18.0,-18.0,-18.0,-21.0,,322.0,5.0,,,,
272,5.0,Portugal,PRT,1756.0,10269417.0,11203.324999999997,2020-03-22,1778345.0,1.0,2020-08-10,2020-03-02,EPI_THIRD_WAVE,38134.33,16.64748836277658,12999.40103707932,-3.0,-6.0,-3.0,-3.0,-3.0,,-3.0,18.0,,19.0,-56.0,-11.0,-4.0,12.0,86.0
273,5.0,Portugal,PRT,15249.0,10269417.0,18990.199999999997,2020-08-14,9412036.0,2.0,2021-05-15,2020-08-10,EPI_THIRD_WAVE,38134.33,16.64748836277658,12999.40103707932,-3.0,-6.0,-3.0,-3.0,-3.0,,-3.0,18.0,,19.0,-56.0,-11.0,-4.0,12.0,86.0
274,5.0,Portugal,PRT,0.0,10269417.0,7535.289999999999,2021-05-18,0.0,3.0,2021-09-19,2021-05-15,EPI_THIRD_WAVE,38134.33,16.64748836277658,12999.40103707932,-3.0,-6.0,-3.0,-3.0,-3.0,,-3.0,18.0,,19.0,-56.0,-11.0,-4.0,12.0,86.0
275,4.0,Palestina,PSE,2032.0,4685306.0,26199.23,2020-07-01,790630.0,1.0,2021-02-03,2020-03-05,EPI_SECOND_WAVE,40788.354999999996,8.17662709756844,3317.538918482592,-117.0,-117.0,-101.0,-118.0,-101.0,-101.0,-101.0,-118.0,-118.0,,,,,,
276,4.0,Palestina,PSE,1808.0,4685306.0,6713.869999999999,2021-02-04,767849.5,2.0,2021-07-01,2021-02-03,EPI_SECOND_WAVE,40788.354999999996,8.17662709756844,3317.538918482592,-117.0,-117.0,-101.0,-118.0,-101.0,-101.0,-101.0,-118.0,-118.0,,,,,,
