,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth
25288,Costa Rica,CRI,2020-06-23,86.0,63.92857142857143,0.0,0.14285714285714285
25289,Costa Rica,CRI,2020-06-24,64.0,66.78571428571429,0.0,0.14285714285714285
25290,Costa Rica,CRI,2020-06-25,91.0,70.92857142857143,0.0,0.07142857142857142
25291,Costa Rica,CRI,2020-06-26,147.0,75.28571428571429,0.0,0.0
25292,Costa Rica,CRI,2020-06-27,169.0,81.85714285714286,0.0,0.0
25293,Costa Rica,CRI,2020-06-28,152.0,87.42857142857143,0.0,0.0
25294,Costa Rica,CRI,2020-06-29,143.0,94.07142857142857,1.0,0.07142857142857142
25295,Costa Rica,CRI,2020-06-30,151.0,101.07142857142857,2.0,0.21428571428571427
25296,Costa Rica,CRI,2020-07-01,139.0,108.92857142857143,0.0,0.21428571428571427
25297,Costa Rica,CRI,2020-07-02,190.0,118.78571428571428,1.0,0.2857142857142857
25298,Costa Rica,CRI,2020-07-03,294.0,134.42857142857142,0.0,0.2857142857142857
25299,Costa Rica,CRI,2020-07-04,270.0,148.85714285714286,2.0,0.42857142857142855
25300,Costa Rica,CRI,2020-07-05,288.0,160.92857142857142,0.0,0.42857142857142855
25301,Costa Rica,CRI,2020-07-06,310.0,178.14285714285714,0.0,0.42857142857142855
25302,Costa Rica,CRI,2020-07-07,375.0,198.78571428571428,1.0,0.5
25303,Costa Rica,CRI,2020-07-08,245.0,211.7142857142857,4.0,0.7857142857142857
25304,Costa Rica,CRI,2020-07-09,245.0,222.7142857142857,0.0,0.7857142857142857
25305,Costa Rica,CRI,2020-07-10,350.0,237.2142857142857,1.0,0.8571428571428571
25306,Costa Rica,CRI,2020-07-11,649.0,271.5,2.0,1.0
25307,Costa Rica,CRI,2020-07-12,360.0,286.35714285714283,1.0,1.0714285714285714
25308,Costa Rica,CRI,2020-07-13,386.0,303.7142857142857,1.0,1.0714285714285714
25309,Costa Rica,CRI,2020-07-14,365.0,319.0,2.0,1.0714285714285714
25310,Costa Rica,CRI,2020-07-15,440.0,340.5,1.0,1.1428571428571428
25311,Costa Rica,CRI,2020-07-16,446.0,358.78571428571433,5.0,1.4285714285714286
25312,Costa Rica,CRI,2020-07-17,504.0,373.78571428571433,4.0,1.7142857142857142
25313,Costa Rica,CRI,2020-07-18,560.0,394.5,2.0,1.7142857142857142
25314,Costa Rica,CRI,2020-07-19,423.0,404.1428571428572,5.0,2.071428571428572
25315,Costa Rica,CRI,2020-07-20,582.0,423.57142857142856,7.0,2.571428571428572
25316,Costa Rica,CRI,2020-07-21,563.0,437.0,8.0,3.071428571428572
25317,Costa Rica,CRI,2020-07-22,420.0,449.5,4.0,3.071428571428572
25318,Costa Rica,CRI,2020-07-23,277.0,451.78571428571433,2.0,3.2142857142857144
25319,Costa Rica,CRI,2020-07-24,550.0,466.07142857142856,3.0,3.3571428571428568
25320,Costa Rica,CRI,2020-07-25,768.0,474.57142857142856,9.0,3.8571428571428568
25321,Costa Rica,CRI,2020-07-26,540.0,487.4285714285714,7.0,4.285714285714286
25322,Costa Rica,CRI,2020-07-27,931.0,526.3571428571429,11.0,5.0
25323,Costa Rica,CRI,2020-07-28,629.0,545.2142857142857,6.0,5.285714285714286
25324,Costa Rica,CRI,2020-07-29,612.0,557.5,11.0,6.0
25325,Costa Rica,CRI,2020-07-30,503.0,561.5714285714286,10.0,6.357142857142858
