,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth,new_tests,new_tests_smooth,positive_rate,positive_rate_smooth,cfr_smooth
25286,Costa Rica,CRI,2020-06-21,119.0,56.785714285714285,0.0,0.14285714285714285,391.0,413.0,0.30434782608695654,0.16494740048404832,0.0041928721174004195
25287,Costa Rica,CRI,2020-06-22,69.0,61.714285714285715,0.0,0.14285714285714285,244.0,414.0,0.2827868852459016,0.1752068892141741,0.003717472118959107
25288,Costa Rica,CRI,2020-06-23,86.0,63.92857142857143,0.0,0.14285714285714285,443.0,437.0,0.19413092550790068,0.17570452399896158,0.0033898305084745757
25289,Costa Rica,CRI,2020-06-24,64.0,66.78571428571429,0.0,0.14285714285714285,621.0,462.0,0.10305958132045089,0.18124138531525028,0.003252032520325203
25290,Costa Rica,CRI,2020-06-25,91.0,70.92857142857143,0.0,0.07142857142857142,703.0,498.0,0.12944523470839261,0.1831148336740395,0.0015174506828528073
25291,Costa Rica,CRI,2020-06-26,147.0,75.28571428571429,0.0,0.0,687.0,507.0,0.21397379912663755,0.1966486787003068,0.0
25292,Costa Rica,CRI,2020-06-27,169.0,81.85714285714286,0.0,0.0,890.0,568.0,0.1898876404494382,0.20251884177795398,0.0
25293,Costa Rica,CRI,2020-06-28,152.0,87.42857142857143,0.0,0.0,743.0,619.0,0.20457604306864063,0.18826572991819454,0.0
25294,Costa Rica,CRI,2020-06-29,143.0,94.07142857142857,1.0,0.07142857142857142,691.0,683.0,0.20694645441389292,0.17743138265647904,0.0013422818791946308
25295,Costa Rica,CRI,2020-06-30,151.0,101.07142857142857,2.0,0.21428571428571427,594.0,704.0,0.2542087542087542,0.18601392961374383,0.0037735849056603774
25296,Costa Rica,CRI,2020-07-01,139.0,108.92857142857143,0.0,0.21428571428571427,853.0,737.0,0.16295427901524032,0.19457031499871374,0.003472222222222222
25297,Costa Rica,CRI,2020-07-02,190.0,118.78571428571429,1.0,0.2857142857142857,1259.0,817.0,0.15091342335186655,0.19763719909063862,0.004469273743016759
25298,Costa Rica,CRI,2020-07-03,294.0,134.42857142857142,0.0,0.2857142857142857,933.0,852.0,0.31511254019292606,0.21208559067153696,0.00427807486631016
25299,Costa Rica,CRI,2020-07-04,270.0,148.85714285714286,2.0,0.42857142857142855,998.0,867.0,0.27054108216432865,0.22360751091652128,0.006042296072507552
25300,Costa Rica,CRI,2020-07-05,288.0,160.92857142857142,0.0,0.42857142857142855,1197.0,932.0,0.24060150375939848,0.2287540053009153,0.005692599620493358
25301,Costa Rica,CRI,2020-07-06,310.0,178.14285714285714,0.0,0.42857142857142855,1000.0,976.0,0.31,0.24347594038464487,0.005235602094240837
